x,Curve1
1.01335,0.256
1.09615,1.0328
1.17895,1.8096
1.26175,2.6273
1.36007,3.2813
1.44804,4.0172
1.53602,4.753
1.62917,5.4889
1.72231,6.1838
1.82064,6.7968
1.91379,7.4917
2.01728,8.1457
2.11043,8.7997
2.21393,9.4127
2.31225,10.0666
2.41058,10.6797
2.51407,11.2927
2.6124,11.9467
2.7159,12.5597
2.81422,13.2137
2.91254,13.8676
3.01604,14.4397
3.11436,15.0937
3.21786,15.7067
3.31618,16.3198
3.41968,16.9328
3.51801,17.5458
3.6215,18.1589
3.725,18.731
3.8285,19.344
3.92682,19.957
4.02515,20.4883
4.12864,21.1013
4.22697,21.7143
4.34081,22.0818
4.44431,22.0402
