x,Curve1
1.13217,-0.3124
1.18057,-0.0153
1.21564,0.135
1.26137,0.4076
1.31287,0.6697
1.38958,1.0257
1.44738,1.2357
1.5136,1.4692
1.57522,1.7072
1.6376,1.8683
1.67706,2.0013
1.74166,2.189
1.8067,2.4004
1.87481,2.5835
1.93633,2.755
2.01107,2.9779
2.0716,3.1096
2.14821,3.2989
2.20123,3.4198
2.27292,3.627
2.3365,3.7743
2.39763,3.9656
2.46613,4.1289
2.51437,4.3112
2.59014,4.528
2.69723,4.8384
2.82123,5.193
2.86633,5.3705
2.99597,5.7695
3.04108,6.0358
3.16509,6.4349
3.2102,6.7457
3.33422,7.2337
3.50902,8.2546
3.61617,8.9204
3.72331,9.5863
3.82483,10.341
3.91508,11.0959
4.01097,11.8951
4.10123,12.6944
4.18586,13.5382
4.27049,14.382
4.31001,14.9594
4.37772,15.6339
4.41724,16.203
4.4726,16.7498
4.50751,17.0912
